week,profile_id,sim_index,metric,value
2,helium_bme_v1,1,minted,500125.000000
2,helium_bme_v1,1,burned,273395.075660
2,helium_bme_v1,1,providers,299700.000000
2,helium_bme_v1,1,capacity,54367804.945418
2,helium_bme_v1,1,utilization,4.083299
2,helium_bme_v1,1,solvencyScore,0.546653
2,helium_bme_v1,1,profit_avg_provider,-7.334126
2,helium_bme_v1,1,incentive_ratio,-0.915310
2,helium_bme_v1,1,retention_absolute,0.810000
2,helium_bme_v1,1,retention_rate,0.900000
3,helium_bme_v1,1,price,0.149361
3,helium_bme_v1,1,supply,180662563.817367
3,helium_bme_v1,1,minted,512612.500000
3,helium_bme_v1,1,burned,743164.866158
3,helium_bme_v1,1,providers,269730.000000
3,helium_bme_v1,1,capacity,48938243.548938
3,helium_bme_v1,1,utilization,4.536330
3,helium_bme_v1,1,solvencyScore,1.449760
3,helium_bme_v1,1,profit_avg_provider,-7.757956
3,helium_bme_v1,1,incentive_ratio,-0.964518
3,helium_bme_v1,1,retention_absolute,0.729000
3,helium_bme_v1,1,retention_rate,0.900000
4,helium_bme_v1,1,price,0.406006
4,helium_bme_v1,1,supply,180912958.325040
4,helium_bme_v1,1,minted,523789.583333
4,helium_bme_v1,1,burned,273395.075660
4,helium_bme_v1,1,providers,242905.000000
4,helium_bme_v1,1,capacity,44100777.320617
4,helium_bme_v1,1,utilization,5.033925
4,helium_bme_v1,1,solvencyScore,0.521956
4,helium_bme_v1,1,profit_avg_provider,-7.158254
4,helium_bme_v1,1,incentive_ratio,-0.890563
4,helium_bme_v1,1,retention_absolute,0.656500
4,helium_bme_v1,1,retention_rate,0.900549
5,helium_bme_v1,1,price,0.149361
5,helium_bme_v1,1,supply,180703680.958882
5,helium_bme_v1,1,minted,533887.500000
5,helium_bme_v1,1,burned,743164.866158
5,helium_bme_v1,1,providers,218670.000000
5,helium_bme_v1,1,capacity,39686793.048465
5,helium_bme_v1,1,utilization,5.593800
5,helium_bme_v1,1,solvencyScore,1.391988
5,helium_bme_v1,1,profit_avg_provider,-7.671657
5,helium_bme_v1,1,incentive_ratio,-0.954416
5,helium_bme_v1,1,retention_absolute,0.591000
5,helium_bme_v1,1,retention_rate,0.900228
6,helium_bme_v1,1,price,0.406006
6,helium_bme_v1,1,supply,180973269.216555
6,helium_bme_v1,1,minted,542983.333333
6,helium_bme_v1,1,burned,273395.075660
6,helium_bme_v1,1,providers,196840.000000
6,helium_bme_v1,1,capacity,35608908.344816
6,helium_bme_v1,1,utilization,6.234395
6,helium_bme_v1,1,solvencyScore,0.503505
6,helium_bme_v1,1,profit_avg_provider,-6.880776
6,helium_bme_v1,1,incentive_ratio,-0.860004
6,helium_bme_v1,1,retention_absolute,0.532000
6,helium_bme_v1,1,retention_rate,0.900169
7,helium_bme_v1,1,price,0.149361
7,helium_bme_v1,1,supply,180781258.517064
7,helium_bme_v1,1,minted,551154.166667
7,helium_bme_v1,1,burned,743164.866158
7,helium_bme_v1,1,providers,177230.000000
7,helium_bme_v1,1,capacity,32073748.649818
7,helium_bme_v1,1,utilization,6.921548
7,helium_bme_v1,1,solvencyScore,1.348379
7,helium_bme_v1,1,profit_avg_provider,-7.567675
7,helium_bme_v1,1,incentive_ratio,-0.941939
7,helium_bme_v1,1,retention_absolute,0.479000
7,helium_bme_v1,1,retention_rate,0.900376
8,helium_bme_v1,1,price,0.406006
8,helium_bme_v1,1,supply,181066340.524737
8,helium_bme_v1,1,minted,558477.083333
8,helium_bme_v1,1,burned,273395.075660
8,helium_bme_v1,1,providers,159655.000000
8,helium_bme_v1,1,capacity,29001501.206093
8,helium_bme_v1,1,utilization,7.654776
8,helium_bme_v1,1,solvencyScore,0.489537
8,helium_bme_v1,1,profit_avg_provider,-6.565922
8,helium_bme_v1,1,incentive_ratio,-0.822473
8,helium_bme_v1,1,retention_absolute,0.431500
8,helium_bme_v1,1,retention_rate,0.900835
9,helium_bme_v1,1,price,0.149361
9,helium_bme_v1,1,supply,180888281.908579
9,helium_bme_v1,1,minted,565106.250000
9,helium_bme_v1,1,burned,743164.866158
9,helium_bme_v1,1,providers,143745.000000
9,helium_bme_v1,1,capacity,26109119.677844
9,helium_bme_v1,1,utilization,8.502776
9,helium_bme_v1,1,solvencyScore,1.315089
9,helium_bme_v1,1,profit_avg_provider,-7.335487
9,helium_bme_v1,1,incentive_ratio,-0.926602
9,helium_bme_v1,1,retention_absolute,0.388500
9,helium_bme_v1,1,retention_rate,0.900348
0,adaptive_elastic_v1,0,price,4.500000
0,adaptive_elastic_v1,0,supply,520981577.393710
0,adaptive_elastic_v1,0,minted,982277.698697
0,adaptive_elastic_v1,0,burned,700.304987
0,adaptive_elastic_v1,0,providers,5000.000000
0,adaptive_elastic_v1,0,capacity,891840.024310
0,adaptive_elastic_v1,0,utilization,3.363832
0,adaptive_elastic_v1,0,solvencyScore,0.000713
0,adaptive_elastic_v1,0,profit_avg_provider,807.523360
0,adaptive_elastic_v1,0,incentive_ratio,0.500000
0,adaptive_elastic_v1,0,retention_absolute,1.000000
0,adaptive_elastic_v1,0,retention_rate,1.000000
1,adaptive_elastic_v1,0,price,1.655457
1,adaptive_elastic_v1,0,supply,521963055.221005
1,adaptive_elastic_v1,0,minted,982277.698697
1,adaptive_elastic_v1,0,burned,799.871402
1,adaptive_elastic_v1,0,providers,5000.000000
1,adaptive_elastic_v1,0,capacity,891840.024310
1,adaptive_elastic_v1,0,utilization,3.363832
1,adaptive_elastic_v1,0,solvencyScore,0.000814
1,adaptive_elastic_v1,0,profit_avg_provider,248.697225
1,adaptive_elastic_v1,0,incentive_ratio,10.787332
1,adaptive_elastic_v1,0,retention_absolute,1.000000
1,adaptive_elastic_v1,0,retention_rate,1.000000
2,adaptive_elastic_v1,0,price,0.609009
2,adaptive_elastic_v1,0,supply,522944101.410352
2,adaptive_elastic_v1,0,minted,982277.698697
2,adaptive_elastic_v1,0,burned,1231.509350
2,adaptive_elastic_v1,0,providers,5000.000000
2,adaptive_elastic_v1,0,capacity,891840.024310
2,adaptive_elastic_v1,0,utilization,3.363832
2,adaptive_elastic_v1,0,solvencyScore,0.001254
2,adaptive_elastic_v1,0,profit_avg_provider,43.116578
2,adaptive_elastic_v1,0,incentive_ratio,3.336317
2,adaptive_elastic_v1,0,retention_absolute,1.000000
2,adaptive_elastic_v1,0,retention_rate,1.000000
3,adaptive_elastic_v1,0,price,0.224042
3,adaptive_elastic_v1,0,supply,523922613.186229
3,adaptive_elastic_v1,0,minted,981859.365364
3,adaptive_elastic_v1,0,burned,3347.589487
3,adaptive_elastic_v1,0,providers,5627.500000
3,adaptive_elastic_v1,0,capacity,1009958.347432
3,adaptive_elastic_v1,0,utilization,2.970420
3,adaptive_elastic_v1,0,solvencyScore,0.003409
3,adaptive_elastic_v1,0,profit_avg_provider,-36.614830
3,adaptive_elastic_v1,0,incentive_ratio,0.595242
