profile_id,metric,week,p25,median,p75
helium_bme_v1,profit_avg_provider,2,-7.461389,-7.334126,-7.334126
helium_bme_v1,profit_avg_provider,3,-7.885155,-7.757956,-7.757956
helium_bme_v1,profit_avg_provider,4,-7.331093,-7.158254,-7.158254
helium_bme_v1,profit_avg_provider,5,-7.819642,-7.671657,-7.671657
helium_bme_v1,profit_avg_provider,6,-7.088698,-6.880776,-6.880776
helium_bme_v1,profit_avg_provider,7,-7.780672,-7.567675,-7.567675
helium_bme_v1,profit_avg_provider,8,-6.839237,-6.565922,-6.565922
helium_bme_v1,profit_avg_provider,9,-7.709289,-7.335487,-7.335487
helium_bme_v1,incentive_ratio,0,-0.493243,-0.493243,-0.493243
helium_bme_v1,incentive_ratio,1,-0.792861,-0.792861,-0.792861
helium_bme_v1,incentive_ratio,2,-0.915310,-0.915310,-0.915310
helium_bme_v1,incentive_ratio,3,-0.964518,-0.964518,-0.964518
helium_bme_v1,incentive_ratio,4,-0.890563,-0.890563,-0.890563
helium_bme_v1,incentive_ratio,5,-0.954416,-0.954416,-0.954416
helium_bme_v1,incentive_ratio,6,-0.860004,-0.860004,-0.860004
helium_bme_v1,incentive_ratio,7,-0.941939,-0.941939,-0.941939
helium_bme_v1,incentive_ratio,8,-0.822473,-0.822473,-0.822473
helium_bme_v1,incentive_ratio,9,-0.926602,-0.926602,-0.926602
helium_bme_v1,retention_absolute,0,1.000000,1.000000,1.000000
helium_bme_v1,retention_absolute,1,0.900000,0.900000,0.900000
helium_bme_v1,retention_absolute,2,0.810000,0.810000,0.810000
helium_bme_v1,retention_absolute,3,0.729000,0.729000,0.729000
helium_bme_v1,retention_absolute,4,0.656500,0.656500,0.656500
helium_bme_v1,retention_absolute,5,0.591000,0.591000,0.591000
helium_bme_v1,retention_absolute,6,0.532000,0.532000,0.532000
helium_bme_v1,retention_absolute,7,0.479000,0.479000,0.479000
helium_bme_v1,retention_absolute,8,0.431500,0.431500,0.431500
helium_bme_v1,retention_absolute,9,0.388500,0.388500,0.388500
helium_bme_v1,retention_rate,0,1.000000,1.000000,1.000000
helium_bme_v1,retention_rate,1,0.900000,0.900000,0.900000
helium_bme_v1,retention_rate,2,0.900000,0.900000,0.900000
helium_bme_v1,retention_rate,3,0.900000,0.900000,0.900000
helium_bme_v1,retention_rate,4,0.900549,0.900549,0.900549
helium_bme_v1,retention_rate,5,0.900228,0.900228,0.900228
